entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
Q9NV35	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	Nudix hydrolase family	Homo sapiens (Human)	3.6.1.9	NUDT15	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; dTTP diphosphatase activity [GO:0036218]; metal ion binding [GO:0046872]; NADH pyrophosphatase activity [GO:0035529]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphate diphosphatase activity [GO:0047429]	Nucleotide triphosphate diphosphatase NUDT15
Q9UJM8	HAOX1_HUMAN	Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX)	FMN-dependent alpha-hydroxy acid dehydrogenase family	Homo sapiens (Human)	1.1.3.15	HAO1	(S)-2-hydroxy-acid oxidase activity [GO:0003973]; FMN binding [GO:0010181]; glycolate oxidase activity [GO:0008891]; long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity [GO:0052853]; medium-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052854]; very-long-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052852]	Hydroxyacid oxidase 1
Q9UQ07	MOK_HUMAN	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Homo sapiens (Human)	2.7.11.22	MOK	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	MAPK/MAK/MRK overlapping kinase
Q9UBT6	POLK_HUMAN	DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)	DNA polymerase type-Y family	Homo sapiens (Human)	2.7.7.7	POLK	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	DNA polymerase kappa
Q9UBF8	PI4KB_HUMAN	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)	PI3/PI4-kinase family, Type III PI4K subfamily	Homo sapiens (Human)	2.7.1.67	PI4KB	14-3-3 protein binding [GO:0071889]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; ATP binding [GO:0005524]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4-kinase beta
Q9NWZ3	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily	Homo sapiens (Human)	2.7.11.1	IRAK4	ATP binding [GO:0005524]; interleukin-1 receptor binding [GO:0005149]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Interleukin-1 receptor-associated kinase 4
Q9UQM7	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Homo sapiens (Human)	2.7.11.17	CAMK2A	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; glutamate receptor binding [GO:0035254]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q9UBE8	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Homo sapiens (Human)	2.7.11.24	NLK	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; SH2 domain binding [GO:0042169]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]	Serine/threonine-protein kinase NLK
Q9NZV8	KCND2_HUMAN	Potassium voltage-gated channel subfamily D member 2 (Voltage-gated potassium channel subunit Kv4.2)	Potassium channel family, D (Shal) (TC 1.A.1.2) subfamily, Kv4.2/KCND2 sub-subfamily	Homo sapiens (Human)		KCND2	A-type (transient outward) potassium channel activity [GO:0005250]; metal ion binding [GO:0046872]; voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1905030]; voltage-gated potassium channel activity [GO:0005249]	Potassium voltage-gated channel subfamily D member 2
Q9UBY5	LPAR3_HUMAN	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)	G-protein coupled receptor 1 family	Homo sapiens (Human)		LPAR3	G-protein alpha-subunit binding [GO:0001965]; G protein-coupled receptor activity [GO:0004930]; lipid binding [GO:0008289]; lysophosphatidic acid receptor activity [GO:0070915]; phospholipid binding [GO:0005543]	Lysophosphatidic acid receptor 3
Q9NY59	NSMA2_HUMAN	Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II)	Neutral sphingomyelinase family	Homo sapiens (Human)	3.1.4.12	SMPD3	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; neutral sphingomyelin phosphodiesterase activity [GO:0061751]; phosphatidic acid binding [GO:0070300]; phosphatidylserine binding [GO:0001786]; phospholipase activity [GO:0004620]; sphingomyelin phosphodiesterase activity [GO:0004767]	Sphingomyelin phosphodiesterase 3
Q9QUR6	PPCE_MOUSE	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	Peptidase S9A family	Mus musculus (Mouse)	3.4.21.26	Prep	endopeptidase activity [GO:0004175]; oligopeptidase activity [GO:0070012]; peptide binding [GO:0042277]; serine-type endopeptidase activity [GO:0004252]	Prolyl endopeptidase
Q9UKL6	PPCT_HUMAN	Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2)		Homo sapiens (Human)		PCTP	phosphatidylcholine binding [GO:0031210]; phosphatidylcholine transporter activity [GO:0008525]	Phosphatidylcholine transfer protein
Q9NZQ7	PD1L1_HUMAN	Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274)	Immunoglobulin superfamily, BTN/MOG family	Homo sapiens (Human)		CD274		Programmed cell death 1 ligand 1
Q9P1W9	PIM2_HUMAN	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	Homo sapiens (Human)	2.7.11.1	PIM2	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase pim-2
Q9NY64	GTR8_HUMAN	Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family, Glucose transporter subfamily	Homo sapiens (Human)		SLC2A8	dehydroascorbic acid transmembrane transporter activity [GO:0033300]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; glucose binding [GO:0005536]; glucose transmembrane transporter activity [GO:0005355]	Solute carrier family 2, facilitated glucose transporter member 8
Q9QYN8	HRH3_RAT	Histamine H3 receptor (H3R) (HH3R)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Hrh3	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]	Histamine H3 receptor
Q9UK17	KCND3_HUMAN	Potassium voltage-gated channel subfamily D member 3 (Voltage-gated potassium channel subunit Kv4.3)	Potassium channel family, D (Shal) (TC 1.A.1.2) subfamily, Kv4.3/KCND3 sub-subfamily	Homo sapiens (Human)		KCND3	A-type (transient outward) potassium channel activity [GO:0005250]; metal ion binding [GO:0046872]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]	Potassium voltage-gated channel subfamily D member 3
Q9NTK5	OLA1_HUMAN	Obg-like ATPase 1 (DNA damage-regulated overexpressed in cancer 45) (DOC45) (GTP-binding protein 9)	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family, YchF/OLA1 subfamily	Homo sapiens (Human)		OLA1	ATPase [GO:0016887]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]	Obg-like ATPase 1
Q9UGN5	PARP2_HUMAN	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	ARTD/PARP family	Homo sapiens (Human)	2.4.2.30; 2.4.2.-	PARP2	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD DNA ADP-ribosyltransferase activity [GO:0140294]; nucleosome binding [GO:0031491]; protein ADP-ribosylase activity [GO:1990404]	Poly [ADP-ribose] polymerase 2
Q9NZK7	PA2GE_HUMAN	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	Phospholipase A2 family	Homo sapiens (Human)	3.1.1.4	PLA2G2E	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; phospholipid binding [GO:0005543]	Group IIE secretory phospholipase A2
Q9UNK4	PA2GD_HUMAN	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	Phospholipase A2 family	Homo sapiens (Human)	3.1.1.4	PLA2G2D	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium ion binding [GO:0005509]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; phospholipid binding [GO:0005543]	Group IID secretory phospholipase A2
Q9QUL3	PA2GE_MOUSE	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	Phospholipase A2 family	Mus musculus (Mouse)	3.1.1.4	Pla2g2e	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium ion binding [GO:0005509]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; phospholipid binding [GO:0005543]	Group IIE secretory phospholipase A2
Q9UNA4	POLI_HUMAN	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)	DNA polymerase type-Y family	Homo sapiens (Human)	2.7.7.7	POLI	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	DNA polymerase iota
Q9UGL1	KDM5B_HUMAN	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	JARID1 histone demethylase family	Homo sapiens (Human)	1.14.11.67	KDM5B	dioxygenase activity [GO:0051213]; DNA binding [GO:0003677]; histone binding [GO:0042393]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-dimethyl-K4 specific) [GO:0034648]; histone demethylase activity (H3-K4 specific) [GO:0032453]; histone demethylase activity (H3-trimethyl-K4 specific) [GO:0034647]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]	Lysine-specific demethylase 5B
Q9UKM7	MA1B1_HUMAN	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)	Glycosyl hydrolase 47 family	Homo sapiens (Human)	3.2.1.113	MAN1B1	calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
Q9UKN7	MYO15_HUMAN	Unconventional myosin-XV (Unconventional myosin-15)	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	Homo sapiens (Human)		MYO15A	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]	Unconventional myosin-XV
Q9P0J0	NDUAD_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	Complex I NDUFA13 subunit family	Homo sapiens (Human)		NDUFA13	ATP binding [GO:0005524]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q9NWM0	SMOX_HUMAN	Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)	Flavin monoamine oxidase family	Homo sapiens (Human)	1.5.3.16	SMOX	N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity [GO:0052895]; norspermine:oxygen oxidoreductase activity [GO:0052894]; oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]; spermine:oxygen oxidoreductase (spermidine-forming) activity [GO:0052901]	Spermine oxidase
Q9UPS6	SET1B_HUMAN	Histone-lysine N-methyltransferase SETD1B (EC 2.1.1.364) (Lysine N-methyltransferase 2G) (SET domain-containing protein 1B) (hSET1B)	Class V-like SAM-binding methyltransferase superfamily	Homo sapiens (Human)	2.1.1.364	SETD1B	histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; RNA binding [GO:0003723]	Histone-lysine N-methyltransferase SETD1B
Q9UEE5	ST17A_HUMAN	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Homo sapiens (Human)	2.7.11.1	STK17A	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase 17A
Q9UBN7	HDAC6_HUMAN	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	Histone deacetylase family, HD type 2 subfamily	Homo sapiens (Human)	3.5.1.98; 3.5.1.-	HDAC6	actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-catenin binding [GO:0008013]; beta-tubulin binding [GO:0048487]; dynein complex binding [GO:0070840]; enzyme binding [GO:0019899]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; Hsp90 protein binding [GO:0051879]; microtubule binding [GO:0008017]; misfolded protein binding [GO:0051787]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein deacetylase activity [GO:0033558]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; tau protein binding [GO:0048156]; transcription corepressor binding [GO:0001222]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	Histone deacetylase 6
Q9P0L2	MARK1_HUMAN	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Homo sapiens (Human)	2.7.11.1; 2.7.11.26	MARK1	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]	Serine/threonine-protein kinase MARK1
Q9TSZ1	RENI_CALJA	Renin (EC 3.4.23.15) (Angiotensinogenase)	Peptidase A1 family	Callithrix jacchus (White-tufted-ear marmoset)	3.4.23.15	REN	aspartic-type endopeptidase activity [GO:0004190]	Renin
Q9UHJ3	SMBT1_HUMAN	Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1)		Homo sapiens (Human)		SFMBT1	chromatin binding [GO:0003682]; histone binding [GO:0042393]; transcription corepressor activity [GO:0003714]	Scm-like with four MBT domains protein 1
Q9ULW8	PADI3_HUMAN	Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)	Protein arginine deiminase family	Homo sapiens (Human)	3.5.3.15	PADI3	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; protein-arginine deiminase activity [GO:0004668]	Protein-arginine deiminase type-3
Q9UBZ9	REV1_HUMAN	DNA repair protein REV1 (EC 2.7.7.-) (Alpha integrin-binding protein 80) (AIBP80) (Rev1-like terminal deoxycytidyl transferase)	DNA polymerase type-Y family	Homo sapiens (Human)	2.7.7.-	REV1	damaged DNA binding [GO:0003684]; deoxycytidyl transferase activity [GO:0017125]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	DNA repair protein REV1
Q9R155	S26A4_MOUSE	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	SLC26A/SulP transporter (TC 2.A.53) family	Mus musculus (Mouse)		Slc26a4	anion:anion antiporter activity [GO:0015301]; anion transmembrane transporter activity [GO:0008509]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride transmembrane transporter activity [GO:0015108]; iodide transmembrane transporter activity [GO:0015111]; oxalate transmembrane transporter activity [GO:0019531]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]	Pendrin
